,Unnamed: 0,customer lifetime value,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,total claim amount,month
2120,2120,21592.10096,51204,181,28.0,23,0.0,2,929.554445,1
2122,2122,2336.177331,0,67,21.0,28,0.0,1,458.661381,2
2124,2124,11619.91802,78275,72,12.0,36,0.0,2,25.336642,1
2125,2125,10963.95723,55687,276,33.0,91,0.0,1,1324.8,2
2126,2126,10357.62776,52735,65,21.0,19,0.0,2,123.512596,2
2127,2127,2698.010741,95399,68,1.0,36,1.0,1,78.003781,2
2130,2130,5878.447428,25398,74,23.0,2,0.0,3,465.922152,1
2132,2132,14194.15441,88178,70,32.0,78,0.0,2,336.0,2
2134,2134,2279.696801,23253,61,20.0,49,0.0,1,292.8,2
2135,2135,4904.462754,27593,63,31.0,78,0.0,6,241.232198,1
2137,2137,3746.751625,41479,94,14.0,38,1.0,1,19.575683,2
2138,2138,2606.045519,0,71,10.0,22,0.0,1,409.459488,2
2145,2145,2823.501795,24350,73,6.0,89,3.0,1,350.4,2
2147,2147,3554.845264,58557,88,4.0,83,0.0,1,55.510526,1
2152,2152,8099.571213,25452,107,20.0,60,0.0,3,954.688499,1
2153,2153,7610.540153,51878,66,10.0,16,1.0,2,316.8,2
2158,2158,22103.5072,0,102,35.0,48,0.0,2,489.6,1
2159,2159,15672.69696,0,139,4.0,35,0.0,2,667.2,1
2160,2160,5332.462694,68931,66,32.0,30,0.0,7,309.577946,2
2162,2162,9354.128045,0,135,24.0,67,0.0,8,972.0,1
2166,2166,11413.44115,0,161,3.0,71,1.0,9,772.8,2
2172,2172,8025.229358,0,77,20.0,26,0.0,2,25.807685,1
2183,2183,4735.184474,0,134,22.0,68,0.0,1,964.8,1
2186,2186,4475.05212,97949,112,9.0,13,3.0,1,324.812083,1
2190,2190,4282.947971,40864,109,16.0,70,1.0,1,166.937747,2
2192,2192,4228.734374,0,63,2.0,82,2.0,8,302.4,1
2195,2195,5020.473987,67890,63,23.0,26,0.0,3,174.08854,1
2196,2196,6758.807188,0,191,22.0,38,0.0,1,2042.569089,2
2197,2197,4330.799785,0,61,30.0,35,0.0,3,292.8,1
2199,2199,11885.96797,0,105,7.0,20,0.0,2,756.0,2
2208,2208,4540.381153,59556,113,11.0,86,0.0,1,681.505066,1
2210,2210,4892.628631,27005,61,10.0,72,0.0,7,311.84034,1
2212,2212,2600.272131,51978,66,18.0,81,0.0,1,144.782152,1
2216,2216,4171.18715,37478,105,4.0,53,0.0,1,653.685468,1
2217,2217,7687.296987,0,109,0.0,5,0.0,3,523.2,2
2218,2218,2582.408525,76731,64,2.0,68,0.0,1,201.455005,2
2221,2221,22445.28088,0,71,32.0,35,0.0,2,511.2,2
2222,2222,13815.7802,96745,179,14.0,25,5.0,3,859.2,1
2224,2224,3808.122147,94903,94,3.0,38,0.0,1,451.2,1
2228,2228,5932.560456,48278,74,22.0,7,0.0,4,98.198664,1
2229,2229,5438.696611,52721,136,34.0,29,0.0,1,550.127548,1
2232,2232,2994.351694,55911,74,7.0,40,0.0,1,187.934331,1
2234,2234,4414.577688,0,61,23.0,46,0.0,7,643.877067,1
2235,2235,9521.676094,74583,118,31.0,20,0.0,4,161.210468,2
2239,2239,3528.044252,31278,92,24.0,95,4.0,1,441.6,2
2242,2242,6529.431827,13476,67,3.0,30,2.0,2,433.588181,2
2249,2249,6273.911874,18577,86,21.0,76,0.0,6,412.8,2
2251,2251,4334.210791,0,116,6.0,87,0.0,1,1065.617464,2
2252,2252,2052.948967,0,67,33.0,21,2.0,1,806.180375,2
2253,2253,2509.107875,33555,63,17.0,11,0.0,1,101.89645,2
2255,2255,5351.853544,54817,137,24.0,28,0.0,1,209.504391,2
2259,2259,2778.903705,73570,70,0.0,46,1.0,1,75.936096,2
2261,2261,11490.33618,0,161,0.0,94,0.0,3,1052.933035,1
2262,2262,8668.611261,21474,114,13.0,72,2.0,9,373.428187,2
2263,2263,8888.143979,58789,111,4.0,69,0.0,3,215.438825,2
2266,2266,5037.953998,0,68,28.0,23,1.0,9,326.4,1
2267,2267,7457.344801,43406,187,6.0,49,0.0,1,897.6,1
2268,2268,2498.963061,76792,62,12.0,27,0.0,1,297.6,2
2269,2269,10876.4794,71255,138,28.0,16,0.0,4,138.633681,2
2271,2271,4482.015107,62977,115,34.0,40,0.0,1,552.0,2
2272,2272,5090.44875,25226,71,13.0,97,1.0,4,340.8,2
2274,2274,2802.621642,34628,71,21.0,31,0.0,1,132.517983,1
2276,2276,4151.551337,0,125,23.0,64,0.0,1,900.0,1
2277,2277,8703.727127,61897,72,7.0,79,0.0,2,3.406136,2
2279,2279,6057.07208,27681,83,13.0,62,0.0,9,398.4,2
2281,2281,8548.30415,53055,112,30.0,30,2.0,3,537.6,1
2283,2283,9057.935331,91025,112,26.0,37,0.0,9,327.682669,1
2286,2286,5639.941974,73168,70,21.0,50,0.0,3,425.800112,1
2287,2287,8827.229838,0,123,35.0,38,1.0,3,1088.38378,2
2290,2290,5107.163002,35625,65,10.0,56,1.0,3,288.572108,1
2296,2296,20096.89337,92766,71,17.0,15,0.0,2,379.029102,1
2297,2297,8058.659713,25595,101,5.0,86,0.0,9,484.8,2
2300,2300,2537.383207,92401,64,30.0,37,0.0,1,50.359627,1
2301,2301,28432.00202,17130,198,1.0,58,0.0,2,950.4,1
2302,2302,4359.74197,0,64,17.0,84,0.0,9,307.2,1
2303,2303,2274.775451,0,63,2.0,5,0.0,1,606.642452,1
2305,2305,8658.863813,62464,109,23.0,45,0.0,4,400.181882,2
2306,2306,5316.7566,28559,66,5.0,1,0.0,5,427.242973,1
2309,2309,5555.492159,51705,139,26.0,79,0.0,1,545.291103,1
2311,2311,2895.522489,46267,72,4.0,73,0.0,1,231.969205,1
2313,2313,4715.469193,0,126,13.0,91,0.0,1,694.357961,2
2316,2316,5377.90796,34528,69,22.0,0,2.0,7,183.602763,2
2317,2317,14651.6153,74915,122,13.0,17,0.0,2,393.151377,1
2322,2322,8510.758196,26032,109,18.0,25,0.0,3,638.098653,2
2323,2323,2453.570794,29735,69,3.0,92,0.0,1,331.2,2
2326,2326,3561.595726,0,105,3.0,30,0.0,1,504.0,2
2327,2327,5935.572179,90263,74,17.0,36,0.0,8,355.2,1
2329,2329,14628.49627,63936,189,4.0,29,0.0,5,765.012123,2
2331,2331,6393.874612,0,66,4.0,6,2.0,2,316.8,1
2335,2335,2698.355517,88867,69,6.0,2,1.0,1,331.2,1
2338,2338,2851.161121,55274,71,14.0,35,0.0,1,484.728153,2
2339,2339,4904.894731,12902,139,3.0,51,0.0,1,667.2,2
2343,2343,2989.963139,79867,74,25.0,76,1.0,1,78.172321,2
2344,2344,4980.825042,53265,62,12.0,27,0.0,3,238.005074,2
2347,2347,8189.967712,72191,68,19.0,48,0.0,2,209.387509,2
2349,2349,2429.280527,26736,63,6.0,64,0.0,1,367.92773,1
2350,2350,2489.751297,75474,62,12.0,7,0.0,1,297.6,2
2351,2351,10808.06597,31063,92,20.0,19,0.0,2,441.6,1
2353,2353,12487.58095,31283,104,18.0,3,0.0,2,499.2,1
2355,2355,8409.668976,53986,70,22.0,37,1.0,2,127.886591,2
2361,2361,15656.03434,71731,130,12.0,50,0.0,2,599.648466,2
2367,2367,6333.030812,71737,79,7.0,79,0.0,4,338.79562,1
2368,2368,6993.838856,0,65,29.0,35,2.0,2,468.0,1
2373,2373,8901.678357,0,136,14.0,69,1.0,8,1090.86434,1
2383,2383,2860.111745,51159,72,4.0,61,0.0,1,4.238626,2
2384,2384,4506.485006,15462,115,34.0,18,0.0,1,611.941558,2
2386,2386,2413.139714,27501,63,20.0,0,0.0,1,542.319401,1
2387,2387,2556.609217,23867,65,6.0,99,0.0,1,312.0,1
2388,2388,7613.706014,25944,70,20.0,34,0.0,2,336.0,1
2391,2391,11905.06754,0,115,19.0,39,0.0,2,840.179082,2
2392,2392,9118.148093,56446,114,2.0,8,0.0,3,547.2,1
2393,2393,10899.30177,58518,136,17.0,9,0.0,3,323.637414,1
2395,2395,2481.842224,77993,62,26.0,10,0.0,1,297.6,1
2396,2396,7919.832069,0,70,13.0,18,0.0,2,336.0,2
2397,2397,4506.577736,14985,116,12.0,45,0.0,1,571.319514,1
2400,2400,7462.926263,70263,93,30.0,66,0.0,5,7.345946,1
2401,2401,4742.617289,78596,118,1.0,70,0.0,1,133.907696,2
2412,2412,6915.729915,96610,85,6.0,23,0.0,3,520.364752,1
2414,2414,3871.778009,0,111,10.0,75,0.0,1,799.2,2
2417,2417,2425.29505,0,67,3.0,42,1.0,1,426.006858,1
2421,2421,4365.256633,23566,112,3.0,43,0.0,1,537.6,1
2422,2422,7659.499583,95701,98,24.0,8,3.0,3,99.697769,2
2429,2429,5054.334903,22241,63,1.0,1,0.0,6,343.159148,2
2434,2434,12846.4477,93210,107,6.0,9,2.0,2,513.6,2
2436,2436,8329.286254,30865,104,33.0,31,0.0,7,21.261834,1
2437,2437,7430.347681,61568,93,3.0,36,0.0,3,240.818954,1
2439,2439,3713.803592,93308,92,20.0,56,0.0,1,441.6,2
2440,2440,8798.312515,24550,111,12.0,6,0.0,9,536.00374,2
2442,2442,2326.864833,0,62,26.0,98,0.0,1,624.711448,2
2451,2451,7724.840065,32051,193,4.0,40,1.0,1,926.4,2
2452,2452,4505.405812,67801,115,12.0,45,1.0,1,23.810491,2
2453,2453,14349.85991,73222,180,24.0,43,0.0,3,821.51673,2
2455,2455,2592.437797,72421,65,8.0,23,0.0,1,312.0,1
2458,2458,8382.630118,19683,117,17.0,41,1.0,9,561.6,2
2466,2466,3677.907634,31349,93,10.0,32,0.0,1,446.4,1
2467,2467,8269.075366,20225,114,27.0,64,1.0,6,547.2,2
2472,2472,4233.56878,95647,106,11.0,30,0.0,1,508.8,2
2476,2476,5367.089817,97742,67,33.0,57,0.0,5,67.648392,1
2477,2477,8901.055724,46814,113,7.0,19,0.0,3,542.4,2
2484,2484,20766.66918,0,73,9.0,28,2.0,2,350.4,1
2485,2485,8255.76385,54040,103,14.0,88,0.0,4,59.987126,1
2488,2488,5258.251562,37874,65,30.0,65,0.0,8,41.016038,2
2489,2489,19069.49954,0,102,29.0,72,2.0,2,734.4,2
2491,2491,5926.980962,58733,74,26.0,42,0.0,9,355.2,2
2492,2492,5004.310469,25486,65,15.0,53,0.0,3,72.438681,2
2493,2493,2452.738575,52785,61,2.0,90,0.0,1,45.721456,1
2495,2495,7732.385103,34430,65,6.0,15,0.0,2,184.958966,1
2497,2497,9560.049227,19429,122,18.0,21,0.0,9,683.45551,2
2500,2500,6689.022728,56980,84,33.0,70,0.0,7,599.000883,2
2501,2501,4637.544647,0,68,18.0,81,0.0,3,352.130674,2
2507,2507,4049.415027,62864,104,20.0,14,0.0,1,171.213743,1
2513,2513,7019.177186,26806,63,32.0,19,0.0,2,302.4,1
2516,2516,7614.137981,27293,96,20.0,55,0.0,6,469.030907,2
2518,2518,6676.726314,56875,84,0.0,70,0.0,6,145.448401,1
2519,2519,4196.257691,18052,111,5.0,71,0.0,1,699.1679,2
2520,2520,2674.730716,56342,69,12.0,89,0.0,1,331.2,2
2521,2521,7221.151702,33811,184,17.0,59,0.0,1,587.37679,2
2523,2523,3587.359906,16049,93,3.0,8,0.0,1,446.4,2
2524,2524,8283.066678,71034,103,26.0,15,0.0,3,494.4,2
2525,2525,5108.038755,26784,67,14.0,82,0.0,8,482.4,1
2527,2527,14428.86926,0,68,2.0,82,0.0,2,326.4,1
2532,2532,5678.050167,0,76,8.0,44,0.0,3,364.8,1
2533,2533,3230.576665,62873,81,0.0,41,0.0,1,207.75186,1
2534,2534,7805.31287,21073,106,25.0,54,1.0,3,508.8,1
2541,2541,7699.632103,23577,68,1.0,67,0.0,2,91.815153,2
2544,2544,58166.55351,61321,186,0.0,30,1.0,2,427.63121,2
2545,2545,9080.28284,68073,114,16.0,63,0.0,8,547.2,2
2547,2547,7824.372789,32823,100,1.0,36,0.0,8,480.0,1
2550,2550,5233.949019,69231,65,19.0,7,0.0,9,193.243084,1
2554,2554,4372.194536,20354,116,23.0,0,0.0,1,556.8,1
2555,2555,4547.321823,29031,61,7.0,19,2.0,3,292.8,2
2559,2559,4554.911887,90156,114,16.0,6,0.0,1,388.346716,1
2560,2560,2799.470318,78127,69,5.0,6,0.0,1,136.172569,1
2563,2563,2403.53947,24248,70,33.0,82,3.0,1,336.0,1
2564,2564,2545.070274,71868,65,6.0,61,0.0,1,312.0,2
2565,2565,2754.45676,79507,70,7.0,17,3.0,1,442.199439,2
2566,2566,4462.997006,0,73,35.0,52,3.0,5,350.4,1
2569,2569,7154.094304,28204,182,30.0,84,0.0,1,532.089467,1
2570,2570,26511.60445,28773,229,14.0,72,0.0,2,1099.2,1
2572,2572,9102.902307,73759,114,2.0,25,3.0,6,547.2,2
2578,2578,10298.38586,64825,129,1.0,78,0.0,4,359.484342,1
2580,2580,2004.350666,0,66,16.0,35,4.0,1,316.8,2
2583,2583,5350.367001,58357,137,27.0,76,2.0,1,708.220713,1
2584,2584,5931.28489,56617,74,18.0,24,0.0,3,355.2,2
2585,2585,14941.90379,22978,190,8.0,53,0.0,4,912.0,2
2586,2586,6446.706674,55037,80,20.0,88,1.0,8,481.823284,2
2587,2587,8467.369513,0,122,2.0,73,0.0,5,1100.088685,1
2588,2588,3697.04094,0,113,3.0,91,0.0,1,813.6,2
2592,2592,4025.095533,0,119,29.0,54,2.0,1,571.2,2
2593,2593,4606.26977,0,72,8.0,14,2.0,8,518.4,2
2594,2594,13466.92071,11432,119,11.0,9,0.0,2,571.2,2
2595,2595,2588.860221,46168,65,1.0,7,0.0,1,312.0,2
2598,2598,8701.363763,0,122,8.0,32,0.0,6,684.851797,2
2599,2599,17429.87777,41775,109,11.0,80,0.0,2,104.672657,1
2602,2602,2853.600347,87455,71,10.0,46,0.0,1,329.238904,1
2604,2604,4657.159469,18024,65,13.0,1,0.0,3,312.0,1
2605,2605,5860.01804,38684,74,1.0,22,0.0,6,376.760016,1
2606,2606,2637.602689,54378,66,16.0,30,0.0,1,316.8,1
2612,2612,5780.182197,51066,74,23.0,0,0.0,8,787.993313,2
2623,2623,10926.69497,29418,274,23.0,31,0.0,1,1972.8,1
2627,2627,5285.118669,40783,67,13.0,43,1.0,9,321.6,1
2629,2629,10359.01985,84583,65,6.0,50,0.0,2,238.868659,2
2630,2630,12883.81001,34148,109,27.0,30,0.0,2,451.566751,2
2633,2633,3919.366722,66676,97,0.0,40,0.0,1,558.099357,1
2637,2637,5979.724161,57693,76,16.0,56,0.0,3,547.2,2
2644,2644,4879.442929,58580,61,5.0,53,0.0,3,292.8,2
2645,2645,9409.143498,76847,118,16.0,52,0.0,3,31.58501,2
2647,2647,5625.307768,97095,70,4.0,8,0.0,5,208.035411,2
2651,2651,7868.165983,57340,67,7.0,19,0.0,2,159.391681,1
2652,2652,3964.730745,60817,103,3.0,79,1.0,1,494.4,1
2656,2656,2797.759849,63223,71,3.0,72,0.0,1,397.622116,1
2657,2657,8105.996039,20815,110,7.0,35,0.0,9,528.0,2
2658,2658,9283.737773,24314,235,20.0,60,0.0,1,1128.0,1
2659,2659,2141.750757,0,61,5.0,90,0.0,1,437.040616,2
2662,2662,5926.729379,23091,96,28.0,90,5.0,5,460.8,1
2663,2663,2637.942355,63422,66,8.0,68,0.0,1,355.922452,1
2670,2670,5764.784159,22134,72,13.0,81,0.0,3,445.879224,1
2671,2671,8509.019846,56481,106,7.0,17,0.0,3,273.250112,1
2672,2672,8564.768226,95697,107,29.0,29,0.0,9,178.006524,2
2673,2673,8635.4035,13129,117,15.0,93,0.0,6,700.901632,2
2675,2675,5789.352696,75845,72,2.0,71,0.0,6,73.848672,2
2684,2684,7755.209719,0,110,7.0,90,0.0,5,528.0,1
2685,2685,6846.150323,0,95,13.0,20,0.0,5,456.0,1
2692,2692,5297.918924,66203,66,15.0,38,0.0,8,130.697268,2
2694,2694,2921.681366,0,80,10.0,81,0.0,1,739.310493,1
2695,2695,5926.957452,0,84,19.0,26,2.0,4,403.2,1
2697,2697,5775.517825,0,76,20.0,17,0.0,6,784.611446,2
2699,2699,2576.455597,26854,66,31.0,70,0.0,1,475.2,1
2703,2703,2616.613903,72302,66,6.0,27,0.0,1,316.8,2
2706,2706,5225.253777,67423,65,24.0,0,0.0,9,293.308765,2
2708,2708,4213.918619,12160,109,5.0,34,0.0,1,489.411833,1
2709,2709,2436.397813,0,67,16.0,92,0.0,1,399.0564,2
2710,2710,7054.776317,0,207,32.0,96,0.0,1,1490.4,1
2711,2711,21123.1166,0,69,15.0,9,0.0,2,496.8,2
2713,2713,5674.381244,26225,72,18.0,25,1.0,7,320.777404,2
2719,2719,3508.905811,23629,88,15.0,81,0.0,1,633.6,1
2722,2722,9114.276632,85942,116,16.0,36,2.0,5,79.340118,2
2723,2723,3301.518961,0,89,10.0,83,0.0,1,427.2,1
2728,2728,2989.912494,0,83,23.0,11,0.0,1,398.4,1
2730,2730,2633.011837,21861,69,3.0,11,0.0,1,348.278032,1
2732,2732,2464.707849,31056,63,5.0,46,0.0,1,302.4,2
2733,2733,2553.672212,73935,64,13.0,29,1.0,1,72.071195,2
2739,2739,7350.182328,0,108,7.0,54,0.0,4,777.6,2
2743,2743,6403.577368,28095,82,18.0,2,0.0,8,393.6,1
2753,2753,3265.156348,25820,82,10.0,69,0.0,1,393.6,1
2757,2757,6990.917824,22568,88,31.0,63,0.0,6,422.4,1
2758,2758,10978.7834,92914,136,24.0,55,0.0,8,979.2,2
2761,2761,7268.736958,24445,63,18.0,15,0.0,2,302.4,2
2763,2763,5563.771927,35398,71,26.0,41,0.0,7,340.8,1
2769,2769,8304.688878,0,122,22.0,14,2.0,9,681.328474,2
2772,2772,8673.587,43963,110,25.0,59,0.0,7,528.0,1
2774,2774,16706.11699,63933,70,35.0,98,0.0,2,424.883448,2
2775,2775,9783.628981,0,136,33.0,21,0.0,5,979.2,2
2777,2777,5570.21583,85718,139,4.0,98,1.0,1,540.173933,1
2780,2780,5536.386959,52220,70,17.0,42,1.0,5,336.0,1
2783,2783,36229.40842,22220,105,29.0,46,0.0,2,22.45383,1
2788,2788,2436.839358,0,65,34.0,84,0.0,1,149.241472,2
2793,2793,13502.63148,57222,112,3.0,88,1.0,2,297.187468,2
2797,2797,3531.039178,26884,89,11.0,84,0.0,1,238.132215,2
2800,2800,8132.702789,36737,102,13.0,20,0.0,8,512.861063,1
2802,2802,7199.645715,63328,89,19.0,19,0.0,9,427.2,1
2803,2803,5894.907375,39381,74,6.0,55,1.0,7,355.2,2
2804,2804,3223.217276,0,91,35.0,12,1.0,1,655.2,2
2806,2806,9414.119587,20455,84,14.0,40,2.0,2,564.922034,1
2807,2807,2450.625315,61883,62,11.0,62,0.0,1,18.077998,1
2808,2808,5522.524223,85609,136,22.0,17,0.0,1,652.8,1
2812,2812,16261.16768,41671,136,15.0,30,0.0,2,570.388228,2
2817,2817,17625.53763,77803,63,30.0,18,0.0,2,217.554695,1
2820,2820,3531.348165,0,98,23.0,46,0.0,1,958.502743,2
2821,2821,2310.882998,0,64,12.0,24,0.0,1,460.8,1
2825,2825,2552.226197,35149,64,26.0,33,0.0,1,120.477298,2
2828,2828,19884.91592,63755,62,28.0,40,0.0,2,291.860708,1
2829,2829,3738.436222,27208,102,10.0,65,0.0,1,489.6,2
2830,2830,3873.647046,28142,105,18.0,50,0.0,1,701.708239,1
2836,2836,3491.741616,0,104,30.0,88,0.0,1,748.8,1
2837,2837,8355.512557,49564,105,8.0,29,0.0,5,661.608936,2
2841,2841,7258.634662,88082,61,10.0,45,1.0,2,218.779614,1
2843,2843,5406.876611,27166,71,29.0,51,0.0,5,340.8,1
2845,2845,5802.065978,97541,72,22.0,1,0.0,3,389.185006,1
2847,2847,5971.313496,52018,78,17.0,37,3.0,7,374.4,1
2850,2850,2444.329535,83800,62,11.0,44,0.0,1,196.155575,2
2861,2861,4686.469674,58089,118,31.0,83,0.0,1,566.4,2
2862,2862,3323.092454,70410,83,25.0,13,0.0,1,131.828507,1
2865,2865,11009.13049,51643,283,16.0,43,0.0,1,1358.4,1
2866,2866,2379.825871,69202,61,33.0,12,0.0,1,292.8,2
2867,2867,13211.01092,74656,111,0.0,6,0.0,2,504.365927,1
2869,2869,4846.322223,0,72,31.0,75,0.0,9,518.4,1
2872,2872,8838.085637,82664,114,24.0,10,3.0,9,133.425609,1
2882,2882,2570.190941,69446,64,23.0,32,1.0,1,26.731452,2
2886,2886,6863.124573,25352,173,10.0,65,0.0,1,830.4,1
2892,2892,5345.201117,55571,135,4.0,46,0.0,1,904.813121,1
2894,2894,8555.887254,0,81,6.0,49,0.0,2,583.2,1
2897,2897,5553.521059,96587,138,31.0,99,0.0,1,749.244062,1
2898,2898,4595.043966,0,64,16.0,62,0.0,6,460.8,1
2901,2901,9384.654502,25370,116,21.0,64,0.0,3,556.8,1
2902,2902,6369.262355,34498,83,30.0,72,0.0,7,398.4,1
2903,2903,23813.52051,88680,66,5.0,66,0.0,2,201.762191,1
2904,2904,6418.24871,46648,81,8.0,26,0.0,7,123.576765,1
2906,2906,5811.996703,58643,74,33.0,58,0.0,3,329.46648,2
2909,2909,5332.462694,68931,66,32.0,30,0.0,7,309.577946,2
2911,2911,5479.555081,56005,68,31.0,30,1.0,3,326.4,1
2918,2918,5182.393447,44820,133,12.0,62,3.0,1,336.13217,1
2924,2924,8417.004401,24285,111,6.0,10,0.0,7,1257.527908,1
2929,2929,17793.60797,0,118,26.0,43,0.0,2,1118.990694,2
2931,2931,4745.680421,0,63,23.0,88,0.0,3,523.337427,1
2932,2932,4250.282624,0,61,17.0,1,1.0,7,292.8,1
2935,2935,5504.139033,0,73,18.0,45,0.0,5,350.4,2
2936,2936,2121.647053,0,62,11.0,45,0.0,1,446.4,1
2938,2938,14084.48944,0,208,22.0,92,0.0,3,2270.508697,2
2939,2939,5224.328801,83389,65,5.0,57,0.0,3,209.25613,1
2943,2943,8054.982035,75531,102,2.0,13,0.0,4,489.6,1
2945,2945,7325.892726,52920,93,18.0,95,0.0,3,1101.05432,1
2948,2948,2933.960426,0,83,2.0,62,0.0,1,199.851201,1
2950,2950,6285.019179,0,172,5.0,33,0.0,1,825.6,1
2952,2952,7516.831717,31477,94,22.0,77,0.0,3,146.950756,2
2954,2954,4590.811214,28354,118,33.0,20,0.0,1,320.327775,2
2955,2955,5770.684097,0,83,21.0,67,0.0,8,946.345269,2
2956,2956,27789.69235,33806,89,32.0,59,0.0,2,395.729716,1
2960,2960,15467.78904,77517,129,19.0,20,0.0,2,98.921782,1
2962,2962,3008.099115,80681,74,31.0,12,0.0,1,355.2,1
2965,2965,7374.077921,0,110,19.0,87,4.0,3,528.0,1
2966,2966,2551.226692,79751,63,15.0,67,0.0,1,392.235698,1
2967,2967,10408.96865,20228,101,3.0,43,1.0,2,523.815839,2
2973,2973,5442.744248,25884,69,18.0,36,3.0,9,292.274846,2
2975,2975,7582.113842,64801,64,23.0,19,0.0,2,268.471802,2
2982,2982,2867.312197,23376,78,19.0,18,0.0,1,374.4,1
2984,2984,3945.588049,0,105,2.0,54,0.0,1,933.212749,1
2985,2985,6622.05254,80979,84,32.0,27,2.0,3,25.961213,1
2986,2986,17109.39447,87139,213,18.0,27,0.0,3,363.865389,1
2989,2989,6991.248087,19019,186,7.0,46,0.0,1,1003.050834,2
2990,2990,6165.557517,0,88,12.0,54,0.0,6,653.65668,1
2991,2991,13355.48637,34495,113,27.0,29,0.0,2,389.673944,1
2996,2996,4741.808942,0,65,2.0,73,0.0,8,731.289267,1
2997,2997,4739.297046,0,76,28.0,55,5.0,3,38.792481,1
3001,3001,6439.779016,47412,81,10.0,39,0.0,7,421.824276,1
3005,3005,4335.353131,86096,108,30.0,1,0.0,1,518.4,2
3006,3006,5450.573438,76389,68,5.0,86,0.0,7,262.00129,2
3010,3010,7292.913911,0,98,3.0,70,0.0,8,470.4,2
3011,3011,5928.748528,40531,74,17.0,32,0.0,9,30.567357,1
3012,3012,6277.844624,21024,82,32.0,8,1.0,9,450.129276,1
3013,3013,31516.5084,0,125,23.0,4,0.0,2,626.411563,2
3016,3016,7955.442668,0,69,11.0,5,0.0,2,331.2,2
3019,3019,14230.3242,78046,119,22.0,91,2.0,2,759.119999,2
3021,3021,22986.15393,84831,192,13.0,37,0.0,2,1336.931716,1
3022,3022,12357.11512,0,182,4.0,34,0.0,5,1953.87972,1
3023,3023,5789.8509,77221,71,2.0,49,0.0,7,259.591385,1
3026,3026,7228.005386,25926,61,28.0,68,0.0,2,292.8,1
3030,3030,2030.783687,0,64,0.0,8,1.0,1,731.479725,1
3031,3031,6732.970948,0,62,10.0,31,0.0,2,446.4,1
3032,3032,5158.576449,25963,66,11.0,35,0.0,9,298.954932,1
3034,3034,6371.320461,23797,81,10.0,57,0.0,3,388.8,1
3035,3035,3538.059456,0,67,12.0,67,5.0,7,321.6,1
3036,3036,5764.862315,40238,73,17.0,88,1.0,9,350.4,2
3037,3037,9343.198788,75909,117,23.0,77,0.0,3,561.6,2
3043,3043,20477.10841,58317,73,0.0,56,0.0,2,350.4,1
3044,3044,2545.518369,29250,64,27.0,30,0.0,1,308.240792,2
3045,3045,4772.943848,20993,133,35.0,90,0.0,1,638.4,2
3051,3051,7304.395148,41025,92,22.0,92,0.0,6,20.374393,2
3052,3052,9468.509337,0,88,6.0,47,0.0,2,633.6,2
3056,3056,5294.28379,61687,67,13.0,17,0.0,3,120.128737,1
3060,3060,5067.002561,89703,126,6.0,54,0.0,1,601.983113,2
3066,3066,34090.03598,51840,94,10.0,75,0.0,2,33.747903,1
3067,3067,7618.442045,41900,63,0.0,34,0.0,2,170.496071,2
3068,3068,4811.740943,0,68,34.0,37,0.0,6,619.07199,2
3069,3069,2639.982596,69819,66,24.0,20,0.0,1,21.00736,2
3070,3070,4344.524462,48054,109,2.0,64,0.0,1,523.2,2
3072,3072,6798.272436,32517,94,11.0,53,3.0,3,451.2,1
3073,3073,8658.863813,62464,109,23.0,45,0.0,4,400.181882,2
3075,3075,4115.577437,52405,103,2.0,27,0.0,1,494.4,2
3078,3078,10506.88413,37934,137,2.0,58,1.0,8,385.440163,2
3079,3079,2861.717418,90083,71,23.0,47,0.0,1,181.689191,2
3080,3080,8622.835375,97361,73,6.0,85,0.0,2,350.4,2
3082,3082,5498.940679,22520,73,17.0,64,0.0,3,350.4,2
3083,3083,4742.106389,63891,119,13.0,13,0.0,1,7.651121,1
3086,3086,5006.609577,0,71,16.0,4,0.0,5,358.985713,1
3089,3089,3359.239423,97576,83,1.0,49,1.0,1,544.712653,2
3092,3092,3723.114445,31974,92,25.0,77,0.0,1,388.135527,2
3093,3093,2602.212965,28995,67,28.0,42,0.0,1,321.6,2
3094,3094,9787.808819,10475,88,13.0,81,1.0,2,422.4,1
3095,3095,12128.36511,20495,61,7.0,36,0.0,2,292.8,2
3097,3097,8068.623946,51584,69,11.0,98,2.0,2,368.919773,1
3098,3098,4386.277558,10621,67,28.0,22,0.0,5,321.6,2
3101,3101,5568.947534,0,79,21.0,53,1.0,7,407.440238,1
3102,3102,7107.655397,0,61,2.0,15,0.0,2,541.561209,2
3103,3103,41745.00646,45431,116,23.0,81,0.0,2,556.8,1
3104,3104,9011.129467,88708,112,6.0,71,0.0,9,499.663591,1
3105,3105,4665.129599,0,62,26.0,62,0.0,3,297.6,2
3108,3108,9403.875138,56410,117,13.0,73,0.0,3,523.99823,1
3109,3109,2724.430809,0,77,15.0,31,0.0,1,404.82483,1
3112,3112,8681.046339,0,86,6.0,57,2.0,2,541.217743,2
3114,3114,2808.078361,55005,70,31.0,39,1.0,1,336.0,1
3117,3117,4466.977478,28663,61,15.0,8,4.0,7,292.8,1
3120,3120,19190.31894,39034,68,10.0,55,0.0,2,466.446708,1
3123,3123,3731.504584,0,96,31.0,34,0.0,1,460.8,2
